WKT,SA22020_V1_00,SA22020_V1_00_NAME,SA22020_V1_00_NAME_ASCII,LAND_AREA_SQ_KM,AREA_SQ_KM,LATITUDE,LONGITUDE,EASTING,NORTHING,SHAPE_X,SHAPE_Y
POINT (175.033030829221 -39.94697273963477),225800,Gonville South,Gonville South,1.53981127035,1.53981127035,-39.94697273944398,175.0330308290259,1773679.5368838073,5576149.343121312,1773679.5369,5576149.3431
POINT (175.06596978506383 -39.93438738637036),225900,Bastia-Durie Hill,Bastia-Durie Hill,2.57038603194,2.57038603194,-39.93438738662479,175.06596978502995,1776526.0427964418,5577481.679471545,1776526.0428,5577481.6795
POINT (175.05116110834774 -39.95188507723388),226000,Putiki,Putiki,3.35313747418,3.35313747418,-39.95188507758163,175.05116110843616,1775215.963306658,5575568.60196096,1775215.9633,5575568.602
POINT (175.89463231672102 -39.59548984685591),226100,Mokai Patea,Mokai Patea,2474.93333668,2474.93333668,-39.59548984653213,175.89463231618342,1848556.7763548328,5613134.222133092,1848556.7764,5613134.2221
POINT (176.19630495372522 -39.35191274817647),226200,Ngamatea,Ngamatea,611.566799899,611.566799899,-39.35191274797791,176.19630495386772,1875425.673512691,5639295.997412009,1875425.6735,5639295.9974
POINT (175.25773902317638 -40.01139401446186),226300,Turakina,Turakina,276.627285572,276.627285572,-40.0113940145511,175.25773902296444,1792696.6343816423,5568536.476189967,1792696.6344,5568536.4762
POINT (175.52542040734352 -39.88963632718357),226400,Otairi,Otairi,636.763145298,636.763145298,-39.88963632748944,175.52542040687658,1815928.3245590632,5581439.045765729,1815928.3246,5581439.0458
POINT (175.79677325652423 -39.67806727519516),226500,Taihape,Taihape,4.93441511153,4.93441511153,-39.67806727545006,175.7967732564444,1839866.8434921545,5604233.722768625,1839866.8435,5604233.7228
POINT (175.38152236767937 -40.06377339076963),226600,Marton Rural,Marton Rural,191.742855809,191.742855809,-40.06377339120484,175.3815223674078,1803106.9423755177,5562446.788151407,1803106.9424,5562446.7882
POINT (175.37098145749883 -40.06299116789912),226700,Marton North,Marton North,8.73647195307,8.73647195307,-40.06299116765143,175.3709814571382,1802210.191069948,5562557.634627445,1802210.1911,5562557.6346
POINT (175.2849436164583 -40.17963383034684),226800,Parewanui,Parewanui,266.93757855,266.93757855,-40.179633830127294,175.28494361670724,1794538.796621805,5549801.418023179,1794538.7966,5549801.418
POINT (175.3854159416699 -40.08428893103559),226900,Marton South,Marton South,4.85635508909,4.85635508909,-40.08428893108349,175.38541594204327,1803377.9615316668,5560160.496192914,1803377.9615,5560160.4962
POINT (175.3822625094486 -40.17961479062511),227000,Bulls,Bulls,6.82877481599,6.82877481599,-40.179614790277576,175.3822625096124,1802825.3204149543,5549585.6599373,1802825.3204,5549585.6599
POINT (175.7947992116196 -39.956227257537016),227100,Kiwitea,Kiwitea,785.159452104,785.159452104,-39.956227257748274,175.79479921115552,1838732.252859507,5573360.26507451,1838732.2529,5573360.2651
POINT (175.54964006878402 -40.12380069055672),227200,Tokorangi,Tokorangi,271.525424445,271.525424445,-40.123800690399946,175.5496400683123,1817255.2568602515,5555385.68761699,1817255.2569,5555385.6876
POINT (175.39497952235925 -40.21466325181283),227300,Ohakea-Sanson,Ohakea-Sanson,82.453730281,82.453730281,-40.21466325209134,175.39497952194873,1803803.1217641984,5545665.774769079,1803803.1218,5545665.7748
